Kiosk,Client Nationality,Month,active_contracts,new_contracts,terminations,prev_active,churn_rate,retention_rate,net_change,kiosk_total,share_of_kiosk
Bay Avenue,Algerian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,American,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,139,0.014388489208633094
Bay Avenue,Australian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Belgian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,British,2025-11-01,14,0,0,15.0,0.0,1.0,-1.0,139,0.10071942446043165
Bay Avenue,Canadian,2025-11-01,4,0,1,4.0,0.25,0.75,0.0,139,0.02877697841726619
Bay Avenue,Chinese,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Dutch,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Egyptian,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,139,0.02158273381294964
Bay Avenue,Filipina,2025-11-01,9,0,0,9.0,0.0,1.0,0.0,139,0.06474820143884892
Bay Avenue,French,2025-11-01,5,0,0,5.0,0.0,1.0,0.0,139,0.03597122302158273
Bay Avenue,German,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,139,0.02158273381294964
Bay Avenue,Grenadian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Indian,2025-11-01,46,0,1,50.0,0.02,0.98,-4.0,139,0.33093525179856115
Bay Avenue,Iranian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,139,0.014388489208633094
Bay Avenue,Israeli,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Italian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Lebanese,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,139,0.02158273381294964
Bay Avenue,Norwegian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Pakistani,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,139,0.04316546762589928
Bay Avenue,Palestinian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Portuguese,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,139,0.014388489208633094
Bay Avenue,Romanian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Russian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,139,0.014388489208633094
Bay Avenue,Serbian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Singaporean,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,South African,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,South Korean,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Sudanese,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Swiss,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,139,0.014388489208633094
Bay Avenue,Turkish,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,139,0.02158273381294964
Bay Avenue,UAE,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,139,0.007194244604316547
Bay Avenue,Unknown,2025-11-01,16,1,3,15.0,0.2,0.8,1.0,139,0.11510791366906475
Brands For Less,Armenian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,13,0.07692307692307693
Brands For Less,British,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,13,0.07692307692307693
Brands For Less,Filipina,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,13,0.15384615384615385
Brands For Less,Indian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,13,0.15384615384615385
Brands For Less,Lebanese,2025-11-01,3,0,1,3.0,0.3333333333333333,0.6666666666666667,0.0,13,0.23076923076923078
Brands For Less,Pakistani,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,13,0.07692307692307693
Brands For Less,Palestinian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,13,0.07692307692307693
Brands For Less,Syrian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,13,0.07692307692307693
Brands For Less,Unknown,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,13,0.07692307692307693
Circle Mall,American,2025-11-01,2,0,0,3.0,0.0,1.0,-1.0,127,0.015748031496062992
Circle Mall,Armenian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Australian,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,127,0.023622047244094488
Circle Mall,Belgian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Brazilian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,127,0.015748031496062992
Circle Mall,British,2025-11-01,23,0,0,24.0,0.0,1.0,-1.0,127,0.18110236220472442
Circle Mall,Cameroonian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Canadian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,127,0.015748031496062992
Circle Mall,Croatian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Dutch,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Egyptian,2025-11-01,7,0,0,8.0,0.0,1.0,-1.0,127,0.05511811023622047
Circle Mall,Filipina,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,127,0.047244094488188976
Circle Mall,French,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,127,0.023622047244094488
Circle Mall,German,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,127,0.023622047244094488
Circle Mall,Indian,2025-11-01,11,0,2,12.0,0.16666666666666666,0.8333333333333334,-1.0,127,0.08661417322834646
Circle Mall,Indonesian,2025-11-01,1,1,0,0.0,,,1.0,127,0.007874015748031496
Circle Mall,Irish,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,127,0.031496062992125984
Circle Mall,Italian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Jordanian,2025-11-01,4,1,0,3.0,0.0,1.0,1.0,127,0.031496062992125984
Circle Mall,Kenyan,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Lebanese,2025-11-01,15,0,1,16.0,0.0625,0.9375,-1.0,127,0.11811023622047244
Circle Mall,Maltese,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Moroccan,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,127,0.015748031496062992
Circle Mall,Nigerian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Pakistani,2025-11-01,3,0,0,4.0,0.0,1.0,-1.0,127,0.023622047244094488
Circle Mall,Palestinian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Russian,2025-11-01,5,0,0,6.0,0.0,1.0,-1.0,127,0.03937007874015748
Circle Mall,Saint Kitts And Nevis,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Saint Lucian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Slovakian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,South African,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Swedish,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Syrian,2025-11-01,3,0,0,4.0,0.0,1.0,-1.0,127,0.023622047244094488
Circle Mall,Tunisian,2025-11-01,1,1,0,1.0,0.0,1.0,0.0,127,0.007874015748031496
Circle Mall,Turkish,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,127,0.015748031496062992
Circle Mall,Unknown,2025-11-01,10,1,1,11.0,0.09090909090909091,0.9090909090909091,-1.0,127,0.07874015748031496
City Centre Me'aisem,Algerian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,American,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,Australian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,Belarusian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,Bosnian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,British,2025-11-01,13,0,1,14.0,0.07142857142857142,0.9285714285714286,-1.0,121,0.10743801652892562
City Centre Me'aisem,Canadian,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,121,0.024793388429752067
City Centre Me'aisem,Chinese,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,121,0.01652892561983471
City Centre Me'aisem,Cypriot,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,Danish,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,121,0.01652892561983471
City Centre Me'aisem,Dutch,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,Egyptian,2025-11-01,2,1,0,1.0,0.0,1.0,1.0,121,0.01652892561983471
City Centre Me'aisem,Filipina,2025-11-01,12,0,1,12.0,0.08333333333333333,0.9166666666666666,0.0,121,0.09917355371900827
City Centre Me'aisem,French,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,Indian,2025-11-01,25,0,1,26.0,0.038461538461538464,0.9615384615384616,-1.0,121,0.2066115702479339
City Centre Me'aisem,Iranian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,Irish,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,121,0.01652892561983471
City Centre Me'aisem,Jordanian,2025-11-01,7,1,0,6.0,0.0,1.0,1.0,121,0.05785123966942149
City Centre Me'aisem,Kenyan,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,Lebanese,2025-11-01,11,1,0,10.0,0.0,1.0,1.0,121,0.09090909090909091
City Centre Me'aisem,Moroccan,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,121,0.01652892561983471
City Centre Me'aisem,Pakistani,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,121,0.03305785123966942
City Centre Me'aisem,Portuguese,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
City Centre Me'aisem,South African,2025-11-01,1,0,1,2.0,0.5,0.5,-1.0,121,0.008264462809917356
City Centre Me'aisem,Swedish,2025-11-01,1,0,0,2.0,0.0,1.0,-1.0,121,0.008264462809917356
City Centre Me'aisem,Syrian,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,121,0.024793388429752067
City Centre Me'aisem,Tunisian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,121,0.01652892561983471
City Centre Me'aisem,Turkish,2025-11-01,2,0,0,3.0,0.0,1.0,-1.0,121,0.01652892561983471
City Centre Me'aisem,Unknown,2025-11-01,15,2,0,13.0,0.0,1.0,2.0,121,0.12396694214876033
City Centre Me'aisem,Zimbabwean,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,121,0.008264462809917356
Dubai Hills,Brazilian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,11,0.09090909090909091
Dubai Hills,British,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,11,0.36363636363636365
Dubai Hills,Dominican,2025-11-01,1,1,0,0.0,,,1.0,11,0.09090909090909091
Dubai Hills,Indian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,11,0.09090909090909091
Dubai Hills,Syrian,2025-11-01,2,1,0,1.0,0.0,1.0,1.0,11,0.18181818181818182
Dubai Hills,Unknown,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,11,0.18181818181818182
Festival City,American,2025-11-01,4,0,0,5.0,0.0,1.0,-1.0,305,0.013114754098360656
Festival City,Armenian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Australian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Belgian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,305,0.006557377049180328
Festival City,Brazilian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,British,2025-11-01,24,1,0,24.0,0.0,1.0,0.0,305,0.07868852459016394
Festival City,Canadian,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,305,0.019672131147540985
Festival City,Chinese,2025-11-01,3,1,0,2.0,0.0,1.0,1.0,305,0.009836065573770493
Festival City,Colombian,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,305,0.009836065573770493
Festival City,Egyptian,2025-11-01,8,0,0,8.0,0.0,1.0,0.0,305,0.02622950819672131
Festival City,Ethiopian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,305,0.006557377049180328
Festival City,Filipina,2025-11-01,94,2,1,95.0,0.010526315789473684,0.9894736842105263,-1.0,305,0.3081967213114754
Festival City,French,2025-11-01,13,0,0,13.0,0.0,1.0,0.0,305,0.04262295081967213
Festival City,German,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,305,0.019672131147540985
Festival City,Hungarian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Icelander,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Indian,2025-11-01,38,0,0,40.0,0.0,1.0,-2.0,305,0.12459016393442623
Festival City,Iranian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Irish,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,305,0.006557377049180328
Festival City,Italian,2025-11-01,2,1,0,1.0,0.0,1.0,1.0,305,0.006557377049180328
Festival City,Jordanian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,305,0.006557377049180328
Festival City,Kenyan,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,305,0.019672131147540985
Festival City,Latvian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Lebanese,2025-11-01,13,0,1,13.0,0.07692307692307693,0.9230769230769231,0.0,305,0.04262295081967213
Festival City,Lithuanian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Macedonian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Malaysian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Mauritanian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Nigerian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Pakistani,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,305,0.009836065573770493
Festival City,Peruvian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Portuguese,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,305,0.009836065573770493
Festival City,Russian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,305,0.006557377049180328
Festival City,Saint Kitts And Nevis,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Saudi Arabian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Singaporean,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,South African,2025-11-01,5,0,0,5.0,0.0,1.0,0.0,305,0.01639344262295082
Festival City,South Korean,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Spanish,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,305,0.009836065573770493
Festival City,Sudanese,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,305,0.009836065573770493
Festival City,Swiss,2025-11-01,1,1,0,0.0,,,1.0,305,0.003278688524590164
Festival City,Syrian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Tunisian,2025-11-01,1,0,1,1.0,1.0,0.0,0.0,305,0.003278688524590164
Festival City,Turkish,2025-11-01,5,0,0,5.0,0.0,1.0,0.0,305,0.01639344262295082
Festival City,Turkmen,2025-11-01,1,1,0,0.0,,,1.0,305,0.003278688524590164
Festival City,Ukrainian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Unknown,2025-11-01,28,4,4,25.0,0.16,0.84,3.0,305,0.09180327868852459
Festival City,Yemenite,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,305,0.003278688524590164
Festival City,Zimbabwean,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,305,0.006557377049180328
Festival Plaza,Afghan,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Algerian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,American,2025-11-01,5,0,0,5.0,0.0,1.0,0.0,353,0.014164305949008499
Festival Plaza,Australian,2025-11-01,8,0,0,8.0,0.0,1.0,0.0,353,0.0226628895184136
Festival Plaza,Austrian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Belgian,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,353,0.0113314447592068
Festival Plaza,Bosnian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Brazilian,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,353,0.0113314447592068
Festival Plaza,British,2025-11-01,33,2,1,32.0,0.03125,0.96875,1.0,353,0.09348441926345609
Festival Plaza,Bulgarian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Burkinabe,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Canadian,2025-11-01,8,1,0,7.0,0.0,1.0,1.0,353,0.0226628895184136
Festival Plaza,Cypriot,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,353,0.0056657223796034
Festival Plaza,Dutch,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,353,0.0084985835694051
Festival Plaza,Egyptian,2025-11-01,7,1,0,9.0,0.0,1.0,-2.0,353,0.019830028328611898
Festival Plaza,Filipina,2025-11-01,55,0,1,56.0,0.017857142857142856,0.9821428571428571,-1.0,353,0.1558073654390935
Festival Plaza,French,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,353,0.0169971671388102
Festival Plaza,German,2025-11-01,4,0,0,5.0,0.0,1.0,-1.0,353,0.0113314447592068
Festival Plaza,Ghanaian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,353,0.0056657223796034
Festival Plaza,Greek,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Hungarian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,353,0.0056657223796034
Festival Plaza,Indian,2025-11-01,89,2,2,89.0,0.02247191011235955,0.9775280898876404,0.0,353,0.2521246458923513
Festival Plaza,Indonesian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Iranian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,353,0.0056657223796034
Festival Plaza,Irish,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Italian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,353,0.0056657223796034
Festival Plaza,Jordanian,2025-11-01,5,0,0,5.0,0.0,1.0,0.0,353,0.014164305949008499
Festival Plaza,Kazakhstani,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Kenyan,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,353,0.0056657223796034
Festival Plaza,Kyrgyz,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Lebanese,2025-11-01,8,0,0,8.0,0.0,1.0,0.0,353,0.0226628895184136
