Contract ID,Kiosk,Client Nationality,Month,Active,Is Start Month,Is End Month
1063205,Bay Avenue,Algerian,2025-03-01,1,1,0
1063205,Bay Avenue,Algerian,2025-04-01,1,0,0
1063205,Bay Avenue,Algerian,2025-05-01,1,0,0
1063205,Bay Avenue,Algerian,2025-06-01,1,0,0
1063205,Bay Avenue,Algerian,2025-07-01,1,0,0
1063205,Bay Avenue,Algerian,2025-08-01,1,0,0
1063205,Bay Avenue,Algerian,2025-09-01,1,0,0
1063205,Bay Avenue,Algerian,2025-10-01,1,0,0
1063205,Bay Avenue,Algerian,2025-11-01,1,0,0
1026506,Bay Avenue,American,2023-09-01,1,1,0
1026506,Bay Avenue,American,2023-10-01,1,0,0
1026506,Bay Avenue,American,2023-11-01,1,0,0
1026506,Bay Avenue,American,2023-12-01,1,0,1
1055333,Bay Avenue,American,2024-11-01,1,1,0
1055333,Bay Avenue,American,2024-12-01,1,0,0
1055333,Bay Avenue,American,2025-01-01,1,0,0
1055333,Bay Avenue,American,2025-02-01,1,0,0
1055333,Bay Avenue,American,2025-03-01,1,0,0
1055333,Bay Avenue,American,2025-04-01,1,0,0
1055333,Bay Avenue,American,2025-05-01,1,0,0
1055333,Bay Avenue,American,2025-06-01,1,0,0
1055333,Bay Avenue,American,2025-07-01,1,0,0
1055333,Bay Avenue,American,2025-08-01,1,0,0
1074008,Bay Avenue,American,2025-08-01,1,1,0
1055333,Bay Avenue,American,2025-09-01,1,0,0
1074008,Bay Avenue,American,2025-09-01,1,0,0
1055333,Bay Avenue,American,2025-10-01,1,0,0
1074008,Bay Avenue,American,2025-10-01,1,0,0
1055333,Bay Avenue,American,2025-11-01,1,0,0
1074008,Bay Avenue,American,2025-11-01,1,0,0
1019539,Bay Avenue,Australian,2023-02-01,1,1,1
1067151,Bay Avenue,Australian,2025-05-01,1,1,0
1067151,Bay Avenue,Australian,2025-06-01,1,0,0
1067151,Bay Avenue,Australian,2025-07-01,1,0,0
1067151,Bay Avenue,Australian,2025-08-01,1,0,0
1067151,Bay Avenue,Australian,2025-09-01,1,0,0
1067151,Bay Avenue,Australian,2025-10-01,1,0,0
1067151,Bay Avenue,Australian,2025-11-01,1,0,0
1069886,Bay Avenue,Bangladeshi,2025-06-01,1,1,0
1069886,Bay Avenue,Bangladeshi,2025-07-01,1,0,0
1069886,Bay Avenue,Bangladeshi,2025-08-01,1,0,1
1058351,Bay Avenue,Belgian,2024-12-01,1,1,0
1058351,Bay Avenue,Belgian,2025-01-01,1,0,0
1058351,Bay Avenue,Belgian,2025-02-01,1,0,0
1058351,Bay Avenue,Belgian,2025-03-01,1,0,0
1058351,Bay Avenue,Belgian,2025-04-01,1,0,0
1058351,Bay Avenue,Belgian,2025-05-01,1,0,0
1058351,Bay Avenue,Belgian,2025-06-01,1,0,0
1058351,Bay Avenue,Belgian,2025-07-01,1,0,0
1058351,Bay Avenue,Belgian,2025-08-01,1,0,0
1058351,Bay Avenue,Belgian,2025-09-01,1,0,0
1058351,Bay Avenue,Belgian,2025-10-01,1,0,0
1058351,Bay Avenue,Belgian,2025-11-01,1,0,0
1025109,Bay Avenue,British,2023-08-01,1,1,1
1027661,Bay Avenue,British,2023-10-01,1,1,1
1028460,Bay Avenue,British,2023-11-01,1,1,0
1028460,Bay Avenue,British,2023-12-01,1,0,0
1030039,Bay Avenue,British,2023-12-01,1,1,0
1028460,Bay Avenue,British,2024-01-01,1,0,0
1030039,Bay Avenue,British,2024-01-01,1,0,1
1030589,Bay Avenue,British,2024-01-01,1,1,1
1028460,Bay Avenue,British,2024-02-01,1,0,0
1033162,Bay Avenue,British,2024-02-01,1,1,0
1033296,Bay Avenue,British,2024-02-01,1,1,0
1033428,Bay Avenue,British,2024-02-01,1,1,0
1033455,Bay Avenue,British,2024-02-01,1,1,0
1028460,Bay Avenue,British,2024-03-01,1,0,0
1033162,Bay Avenue,British,2024-03-01,1,0,0
1033296,Bay Avenue,British,2024-03-01,1,0,0
1033428,Bay Avenue,British,2024-03-01,1,0,1
1033455,Bay Avenue,British,2024-03-01,1,0,0
1028460,Bay Avenue,British,2024-04-01,1,0,0
1033162,Bay Avenue,British,2024-04-01,1,0,0
1033296,Bay Avenue,British,2024-04-01,1,0,1
1033455,Bay Avenue,British,2024-04-01,1,0,0
1040597,Bay Avenue,British,2024-04-01,1,1,0
1040969,Bay Avenue,British,2024-04-01,1,1,0
1028460,Bay Avenue,British,2024-05-01,1,0,0
1033162,Bay Avenue,British,2024-05-01,1,0,0
1033455,Bay Avenue,British,2024-05-01,1,0,0
1040597,Bay Avenue,British,2024-05-01,1,0,0
1040969,Bay Avenue,British,2024-05-01,1,0,0
1045270,Bay Avenue,British,2024-05-01,1,1,0
1046686,Bay Avenue,British,2024-05-01,1,1,0
1046884,Bay Avenue,British,2024-05-01,1,1,0
1028460,Bay Avenue,British,2024-06-01,1,0,0
1033162,Bay Avenue,British,2024-06-01,1,0,0
1033455,Bay Avenue,British,2024-06-01,1,0,0
1040597,Bay Avenue,British,2024-06-01,1,0,0
1040969,Bay Avenue,British,2024-06-01,1,0,0
1045270,Bay Avenue,British,2024-06-01,1,0,0
1046686,Bay Avenue,British,2024-06-01,1,0,0
1046884,Bay Avenue,British,2024-06-01,1,0,0
1028460,Bay Avenue,British,2024-07-01,1,0,0
1033162,Bay Avenue,British,2024-07-01,1,0,0
1033455,Bay Avenue,British,2024-07-01,1,0,0
1040597,Bay Avenue,British,2024-07-01,1,0,0
1040969,Bay Avenue,British,2024-07-01,1,0,0
1045270,Bay Avenue,British,2024-07-01,1,0,0
1046686,Bay Avenue,British,2024-07-01,1,0,0
1046884,Bay Avenue,British,2024-07-01,1,0,0
1028460,Bay Avenue,British,2024-08-01,1,0,0
1033162,Bay Avenue,British,2024-08-01,1,0,0
1033455,Bay Avenue,British,2024-08-01,1,0,0
1040597,Bay Avenue,British,2024-08-01,1,0,0
1040969,Bay Avenue,British,2024-08-01,1,0,0
1045270,Bay Avenue,British,2024-08-01,1,0,0
1046686,Bay Avenue,British,2024-08-01,1,0,0
1046884,Bay Avenue,British,2024-08-01,1,0,0
1028460,Bay Avenue,British,2024-09-01,1,0,0
1033162,Bay Avenue,British,2024-09-01,1,0,0
1033455,Bay Avenue,British,2024-09-01,1,0,0
1040597,Bay Avenue,British,2024-09-01,1,0,0
1040969,Bay Avenue,British,2024-09-01,1,0,0
1045270,Bay Avenue,British,2024-09-01,1,0,0
1046686,Bay Avenue,British,2024-09-01,1,0,0
1046884,Bay Avenue,British,2024-09-01,1,0,0
1050986,Bay Avenue,British,2024-09-01,1,1,0
1050998,Bay Avenue,British,2024-09-01,1,1,0
1052727,Bay Avenue,British,2024-09-01,1,1,0
1028460,Bay Avenue,British,2024-10-01,1,0,0
1033162,Bay Avenue,British,2024-10-01,1,0,0
1033455,Bay Avenue,British,2024-10-01,1,0,0
1040597,Bay Avenue,British,2024-10-01,1,0,0
1040969,Bay Avenue,British,2024-10-01,1,0,0
1045270,Bay Avenue,British,2024-10-01,1,0,0
1046686,Bay Avenue,British,2024-10-01,1,0,0
1046884,Bay Avenue,British,2024-10-01,1,0,0
1050986,Bay Avenue,British,2024-10-01,1,0,0
1050998,Bay Avenue,British,2024-10-01,1,0,0
