Kiosk,Client Nationality,avg_churn_rate,avg_retention_rate,mean_active,net_change_total,latest_active
Bay Avenue,Algerian,0.0,1.0,1.0,0.0,1
Bay Avenue,American,0.0,1.0,2.0,0.0,2
Bay Avenue,Australian,0.0,1.0,1.0,0.0,1
Bay Avenue,Belgian,0.0,1.0,1.0,0.0,1
Bay Avenue,British,0.04305555555555555,0.9569444444444445,15.0,-1.0,14
Bay Avenue,Canadian,0.16666666666666666,0.8333333333333334,4.333333333333333,0.0,4
Bay Avenue,Chinese,0.0,1.0,1.0,0.0,1
Bay Avenue,Dutch,0.0,1.0,1.0,0.0,1
Bay Avenue,Egyptian,0.0,1.0,3.0,1.0,3
Bay Avenue,Filipina,0.0,1.0,8.0,3.0,9
Bay Avenue,French,0.0,1.0,5.0,0.0,5
Bay Avenue,German,0.0,1.0,2.6666666666666665,1.0,3
Bay Avenue,Ghanaian,1.0,0.0,1.0,1.0,1
Bay Avenue,Grenadian,0.0,1.0,1.0,0.0,1
Bay Avenue,Indian,0.048061948183528734,0.9519380518164713,48.333333333333336,-1.0,46
Bay Avenue,Iranian,0.16666666666666666,0.8333333333333334,2.3333333333333335,0.0,2
Bay Avenue,Israeli,0.0,1.0,1.0,0.0,1
Bay Avenue,Italian,0.0,1.0,1.0,0.0,1
Bay Avenue,Kenyan,1.0,0.0,1.0,0.0,1
Bay Avenue,Lebanese,0.0,1.0,3.0,0.0,3
Bay Avenue,Lithuanian,0.5,0.5,1.0,0.0,1
Bay Avenue,Moroccan,1.0,0.0,1.0,0.0,1
Bay Avenue,Norwegian,0.0,1.0,1.0,0.0,1
Bay Avenue,Pakistani,0.0,1.0,6.0,0.0,6
Bay Avenue,Palestinian,0.0,1.0,1.0,0.0,1
Bay Avenue,Portuguese,0.0,1.0,2.0,0.0,2
Bay Avenue,Romanian,0.0,1.0,1.0,0.0,1
Bay Avenue,Russian,0.0,1.0,2.0,0.0,2
Bay Avenue,Serbian,0.0,1.0,1.0,0.0,1
Bay Avenue,Singaporean,0.0,1.0,1.0,0.0,1
Bay Avenue,South African,0.3333333333333333,0.6666666666666666,1.0,0.0,1
Bay Avenue,South Korean,0.0,1.0,1.0,0.0,1
Bay Avenue,Sudanese,0.0,1.0,1.0,0.0,1
Bay Avenue,Swiss,0.0,1.0,2.0,0.0,2
Bay Avenue,Turkish,0.0,1.0,3.0,1.0,3
Bay Avenue,UAE,0.0,1.0,1.0,1.0,1
Bay Avenue,Unknown,0.15,0.85,15.666666666666666,4.0,16
Brands For Less,Armenian,0.0,1.0,1.0,0.0,1
Brands For Less,British,0.0,1.0,1.0,0.0,1
Brands For Less,Filipina,0.0,1.0,2.0,0.0,2
Brands For Less,Indian,0.0,1.0,2.0,0.0,2
Brands For Less,Lebanese,0.1111111111111111,0.888888888888889,3.0,0.0,3
Brands For Less,Pakistani,0.0,1.0,1.0,0.0,1
Brands For Less,Palestinian,0.0,1.0,1.0,0.0,1
Brands For Less,Syrian,0.0,1.0,1.0,0.0,1
Brands For Less,Unknown,0.0,1.0,1.0,0.0,1
Circle Mall,American,0.16666666666666666,0.8333333333333334,3.0,-2.0,2
Circle Mall,Armenian,0.0,1.0,1.0,1.0,1
Circle Mall,Australian,0.0,1.0,3.0,0.0,3
Circle Mall,Belgian,0.0,1.0,1.0,0.0,1
Circle Mall,Brazilian,0.0,1.0,2.0,0.0,2
Circle Mall,British,0.02722222222222222,0.9727777777777779,23.666666666666668,-2.0,23
Circle Mall,Cameroonian,0.0,1.0,1.0,0.0,1
Circle Mall,Canadian,0.0,1.0,1.6666666666666667,1.0,2
Circle Mall,Chinese,0.5,0.5,1.0,0.0,1
Circle Mall,Croatian,0.0,1.0,1.0,0.0,1
Circle Mall,Dutch,0.0,1.0,1.0,0.0,1
Circle Mall,Egyptian,0.07037037037037037,0.9296296296296296,8.0,-3.0,7
Circle Mall,Filipina,0.0,1.0,6.0,0.0,6
Circle Mall,French,0.0,1.0,2.3333333333333335,2.0,3
Circle Mall,German,0.0,1.0,2.6666666666666665,1.0,3
