Kiosk,Client Nationality,Month,active_contracts,new_contracts,terminations,prev_active,churn_rate,retention_rate,net_change
Bay Avenue,Algerian,2025-03-01,1,1,0,0.0,,,1.0
Bay Avenue,Algerian,2025-04-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Algerian,2025-05-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Algerian,2025-06-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Algerian,2025-07-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Algerian,2025-08-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Algerian,2025-09-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Algerian,2025-10-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Algerian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2023-09-01,1,1,0,0.0,,,1.0
Bay Avenue,American,2023-10-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2023-11-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2023-12-01,1,0,1,1.0,1.0,0.0,0.0
Bay Avenue,American,2024-11-01,1,1,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2024-12-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2025-01-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2025-02-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2025-03-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2025-04-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2025-05-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2025-06-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2025-07-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,American,2025-08-01,2,1,0,1.0,0.0,1.0,1.0
Bay Avenue,American,2025-09-01,2,0,0,2.0,0.0,1.0,0.0
Bay Avenue,American,2025-10-01,2,0,0,2.0,0.0,1.0,0.0
Bay Avenue,American,2025-11-01,2,0,0,2.0,0.0,1.0,0.0
Bay Avenue,Australian,2023-02-01,1,1,1,0.0,,,1.0
Bay Avenue,Australian,2025-05-01,1,1,0,1.0,0.0,1.0,0.0
Bay Avenue,Australian,2025-06-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Australian,2025-07-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Australian,2025-08-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Australian,2025-09-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Australian,2025-10-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Australian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Bangladeshi,2025-06-01,1,1,0,0.0,,,1.0
Bay Avenue,Bangladeshi,2025-07-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Bangladeshi,2025-08-01,1,0,1,1.0,1.0,0.0,0.0
Bay Avenue,Belgian,2024-12-01,1,1,0,0.0,,,1.0
Bay Avenue,Belgian,2025-01-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-02-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-03-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-04-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-05-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-06-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-07-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-08-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-09-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-10-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Belgian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,British,2023-08-01,1,1,1,0.0,,,1.0
Bay Avenue,British,2023-10-01,1,1,1,1.0,1.0,0.0,0.0
Bay Avenue,British,2023-11-01,1,1,0,1.0,0.0,1.0,0.0
Bay Avenue,British,2023-12-01,2,1,0,1.0,0.0,1.0,1.0
Bay Avenue,British,2024-01-01,3,1,2,2.0,1.0,0.0,1.0
Bay Avenue,British,2024-02-01,5,4,0,3.0,0.0,1.0,2.0
Bay Avenue,British,2024-03-01,5,0,1,5.0,0.2,0.8,0.0
Bay Avenue,British,2024-04-01,6,2,1,5.0,0.2,0.8,1.0
Bay Avenue,British,2024-05-01,8,3,0,6.0,0.0,1.0,2.0
Bay Avenue,British,2024-06-01,8,0,0,8.0,0.0,1.0,0.0
Bay Avenue,British,2024-07-01,8,0,0,8.0,0.0,1.0,0.0
Bay Avenue,British,2024-08-01,8,0,0,8.0,0.0,1.0,0.0
Bay Avenue,British,2024-09-01,11,3,0,8.0,0.0,1.0,3.0
Bay Avenue,British,2024-10-01,11,0,0,11.0,0.0,1.0,0.0
Bay Avenue,British,2024-11-01,11,0,1,11.0,0.09090909090909091,0.9090909090909091,0.0
Bay Avenue,British,2024-12-01,12,2,0,11.0,0.0,1.0,1.0
Bay Avenue,British,2025-01-01,14,2,1,12.0,0.08333333333333333,0.9166666666666666,2.0
Bay Avenue,British,2025-02-01,14,1,1,14.0,0.07142857142857142,0.9285714285714286,0.0
Bay Avenue,British,2025-03-01,14,1,0,14.0,0.0,1.0,0.0
Bay Avenue,British,2025-04-01,15,1,0,14.0,0.0,1.0,1.0
Bay Avenue,British,2025-05-01,15,0,0,15.0,0.0,1.0,0.0
Bay Avenue,British,2025-06-01,16,1,0,15.0,0.0,1.0,1.0
Bay Avenue,British,2025-07-01,18,2,3,16.0,0.1875,0.8125,2.0
Bay Avenue,British,2025-08-01,15,0,0,18.0,0.0,1.0,-3.0
Bay Avenue,British,2025-09-01,16,1,1,15.0,0.06666666666666667,0.9333333333333333,1.0
Bay Avenue,British,2025-10-01,15,0,1,16.0,0.0625,0.9375,-1.0
Bay Avenue,British,2025-11-01,14,0,0,15.0,0.0,1.0,-1.0
Bay Avenue,Canadian,2024-02-01,1,1,1,0.0,,,1.0
Bay Avenue,Canadian,2024-04-01,1,1,0,1.0,0.0,1.0,0.0
Bay Avenue,Canadian,2024-05-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Canadian,2024-06-01,1,0,0,1.0,0.0,1.0,0.0
Bay Avenue,Canadian,2024-07-01,2,1,0,1.0,0.0,1.0,1.0
Bay Avenue,Canadian,2024-08-01,2,0,0,2.0,0.0,1.0,0.0
Bay Avenue,Canadian,2024-09-01,2,0,0,2.0,0.0,1.0,0.0
Bay Avenue,Canadian,2024-10-01,2,0,1,2.0,0.5,0.5,0.0
Bay Avenue,Canadian,2024-11-01,2,1,0,2.0,0.0,1.0,0.0
Bay Avenue,Canadian,2024-12-01,3,1,0,2.0,0.0,1.0,1.0
Bay Avenue,Canadian,2025-01-01,3,0,0,3.0,0.0,1.0,0.0
Bay Avenue,Canadian,2025-02-01,3,0,0,3.0,0.0,1.0,0.0
Bay Avenue,Canadian,2025-03-01,3,0,0,3.0,0.0,1.0,0.0
Bay Avenue,Canadian,2025-04-01,4,1,0,3.0,0.0,1.0,1.0
Bay Avenue,Canadian,2025-05-01,4,0,0,4.0,0.0,1.0,0.0
Bay Avenue,Canadian,2025-06-01,4,0,0,4.0,0.0,1.0,0.0
Bay Avenue,Canadian,2025-07-01,4,0,0,4.0,0.0,1.0,0.0
Bay Avenue,Canadian,2025-08-01,4,0,0,4.0,0.0,1.0,0.0
Bay Avenue,Canadian,2025-09-01,5,1,1,4.0,0.25,0.75,1.0
